Model,Time Period,AUC,Accuracy,F1,Positive Rate
XGBoost,Overall,0.6210241339028842,0.7960050111358574,0.0,0.20399498886414255
XGBoost,1-5 years,0.6235294066138661,0.8172327394209354,0.0,0.1827672605790646
XGBoost,5-10 years,0.5559720278656608,0.9805122494432071,0.0,0.019487750556792874
XGBoost,10-15 years,0.5758460573101861,0.998260022271715,0.0,0.001739977728285078
Random Forest,Overall,0.6208712187010459,0.48962973273942095,0.3796633110565942,0.20399498886414255
Random Forest,1-5 years,0.6233738340816511,0.48065144766146994,0.35203195554011807,0.1827672605790646
Random Forest,5-10 years,0.5554219142938266,0.38919821826280626,0.04296619411123228,0.019487750556792874
Random Forest,10-15 years,0.5809802691208256,0.3823079064587973,0.00448681996634885,0.001739977728285078
