Model,Time Period,AUC,Accuracy,F1,Positive Rate
XGBoost,Overall,0.7010255216499726,0.6491935483870968,0.5122537241710716,0.39412442396313363
XGBoost,0-2 years,0.42215389260530467,0.5267281105990783,0.09674582233948989,0.1988479262672811
XGBoost,2-5 years,0.8312416617033949,0.7617511520737327,0.5078534031413613,0.15898617511520738
XGBoost,5-10 years,0.9551309781302572,0.7070276497695852,0.18152558738332797,0.032834101382488476
XGBoost,10-15 years,0.9822755298651252,0.6783410138248848,0.021037868162692847,0.0034562211981566822
